"ATL","BOS","BRK","CHA","CHI","CHO","CLE","DAL","DEN","DET","GSW","HOU","IND","KCK","LAC","LAL","MEM","MIA","MIL","MIN","NJN","NOH","NOK","NOP","NYK","OKC","ORL","PHI","PHO","POR","SAC","SAS","SDC","SEA","TOR","UTA","VAN","WAS","WSB"
0,1760980,1425260,393945,1152135,393945,1142351,1257681,2259717,1162336,3981284,1276085,859926,1288282,3500642,3500642,618295,1066253,1309259,1818487,1420880,757127,757127,757127,1418175,1365439,706332,1250270,2970322,4175885,3971889,1593852,3445126,4242770,1531309,3014230,4461478,1027550,1027550
0,0,346928,1351266,1581094,1351266,1029453,2835225,3173198,1137882,4987170,2963583,1506616,2281569,4800514,4800514,2107793,2398716,1728012,2237922,349919,2445212,2445212,2445212,348929,2696878,2069174,499854,4240355,4968448,4847502,3281350,4809347,4900791,885346,3806793,5119499,707503,707503
0,0,0,1013782,1277120,1013782,750599,2507219,2869223,996123,4683195,2635577,1176345,1951299,4473117,4473117,1779786,2061232,1424037,1933947,28152,2117205,2117205,2117205,8004,2366691,1734408,165089,3879949,4664473,4543527,2956062,4448942,4597226,797200,3502818,4781981,372737,370019
0,0,0,0,1214842,0,829424,1651932,2515102,1011983,4375535,1668135,926598,1543667,3963265,3963265,1012547,1172321,1371966,1880695,1005625,1149178,1149178,1149178,1003003,1745422,842779,865003,3364573,4431270,4310325,1985902,3839377,4498155,1219330,3269616,4716863,642283,642283
0,0,0,0,0,1216642,556201,1558697,1615229,457034,3429202,1743615,294790,820916,3242546,3242546,858305,2218325,148247,658157,1269112,1490865,1490865,1490865,1271354,1278008,1858403,1221823,2821485,3410480,3289534,1998574,3341753,3321027,828677,2248825,3539734,1128793,1128793
0,0,0,0,0,0,829424,1651932,2515102,1011983,4375535,1668135,926598,1543667,3963265,3963265,1012547,1172321,1371966,1880695,1005625,1149178,1149178,1149178,1003003,1745422,842779,865003,3364573,4431270,4310325,1985902,3839377,4498155,1219330,3269616,4716863,642283,642283
0,0,0,0,0,0,0,1903187,2144535,271435,3958507,2088105,507313,1282267,3771851,3771851,1175754,1997498,699349,1209259,742199,1696462,1696462,1696462,744441,1697575,1667956,694910,3241052,3939785,3818839,2343065,3871058,3872128,469554,2778130,4090836,601880,601880
0,0,0,0,0,0,0,0,1274047,1907463,2783222,385035,1446435,817890,2311724,2311724,727569,2113386,1614816,1515996,2494259,813676,813676,813676,2491555,331692,1753464,2361555,1713031,3270580,2773827,440722,2187835,3347398,2276436,1999341,3608516,2137553,2137553
0,0,0,0,0,0,0,0,0,2043959,2019692,1660630,1746636,973522,1635516,1635516,1762844,3322794,1683439,1471741,2860245,2092194,2092194,2092194,2862488,1093036,2962873,2781442,1320714,2000970,1806269,1502225,1734723,2119007,2427505,839316,2338907,2674247,2674247
0,0,0,0,0,0,0,0,0,0,3857995,2113870,481448,1229277,3671339,3671339,1202642,2233678,614553,1123282,991662,1723350,1723350,1723350,993905,1686369,1873757,944373,3229846,3839272,3718327,2368829,3770546,3786151,371820,2677618,4004859,842818,842818
0,0,0,0,0,0,0,0,0,0,0,3104160,3662646,2906698,616620,616620,3366024,5011926,3497895,3164152,4674702,3660959,3660959,3660959,4676944,2618829,4652004,4627413,1213330,1022463,141419,2789804,807316,1299975,4241962,1184296,1528800,4534383,4534383
0,0,0,0,0,0,0,0,0,0,0,0,1631627,1198298,2488120,2488120,912761,1910450,1885638,1896404,2623309,559483,559483,559483,2620605,715806,1550528,2490605,1889427,3652184,3104868,320789,2364231,3724502,2461628,2376445,3990120,2266603,2266603
0,0,0,0,0,0,0,0,0,0,0,0,0,775086,3327039,3327039,747245,1923586,449379,958108,1145457,1320978,1320978,1320978,1142752,1190395,1563664,1034830,2733871,3642428,3521483,1887514,3302864,3620977,830025,2480774,3839685,919109,919109
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2603787,2603787,725571,2351739,912619,702461,1921013,1358131,1358131,1358131,1918309,562355,1991817,1810386,1939516,2888865,2767920,1307872,2508508,2955751,1610458,1727211,3174458,1703191,1703191
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2887470,4398908,3314728,3103030,4490074,3047941,3048614,3048614,4492784,2140741,4039659,4364775,600985,1549336,618361,2177459,193648,1826849,4057801,1111569,2055673,4297929,4297929
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2887936,4399581,3313734,3102037,4490541,3048614,3048614,3048614,4492784,2140741,4039659,4364775,600985,1549336,618361,2177459,193648,1826849,4057801,1111569,2055673,4297929,4297929
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682148,1000796,1331964,1767135,635721,635721,635721,1764431,750237,1322227,1634431,2292272,3613096,3356687,1168388,2914763,3679981,1563785,2451441,3898689,1410429,1410429
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377097,2886326,2057263,1393920,1393920,1393920,2054642,2432423,379794,1916641,3799283,5243724,4881850,2230645,4274087,5310609,2390856,4082069,5529316,1693921,1693921
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542538,1414470,1633746,1633746,1633746,1416713,1400235,2013158,1367181,2943711,3322847,3359462,2052161,3411681,3205407,997824,2318753,3424114,1274152,1274152
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1922740,1965124,1965124,1965124,1924983,1267319,2519611,1875451,2644480,2783150,3024109,2012836,3198451,2665711,1499468,1983400,2884418,1782422,1782422
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2102623,2102623,2102623,21356,2332446,1725946,156627,3875923,4648295,4527349,2938762,4579568,4580638,781022,3486640,4799346,364275,364275
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099175,1139658,1029272,1969175,2446264,4036043,3661705,877626,2921068,4155272,2082110,2807215,4373979,1745173,1745173
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099175,1139658,1029272,1969175,2446264,4036043,3661705,877626,2921068,4155272,2082110,2807215,4373979,1745173,1745173
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099175,1139658,1029272,1969175,2446264,4036043,3661705,877626,2921068,4155272,2082110,2807215,4373979,1745173,1745173
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2329796,1725756,156437,3873273,4657796,4536851,2936112,4442265,4590140,790523,3496142,4808847,364085,364085
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2068933,2226829,1544179,3073971,2608594,751371,2113171,3193200,2022024,1912317,3411908,2159974,2159974
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584739,3435610,4880051,4651051,1866972,3910414,4946936,2058953,3718396,5165643,1362019,1362019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3769260,4608080,4487135,2807208,4338253,4540424,800887,3446426,4759131,223883,223883
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146359,1215383,1578366,571913,2287015,3612256,1065410,2505723,3702493,3702493
