"abbr","year","link","real_team_age","avg_age"
"BOS",1980,"/teams/BOS/1980.html",27.2903420523139,27.5833333333333
"PHI",1980,"/teams/PHI/1980.html",26.9857970284563,26.2142857142857
"WSB",1980,"/teams/WSB/1980.html",28.9601609657948,27.3529411764706
"NYK",1980,"/teams/NYK/1980.html",24.1057128412538,25.1538461538462
"NJN",1980,"/teams/NJN/1980.html",26.1456197929816,26.4375
"ATL",1980,"/teams/ATL/1980.html",26.0653690596562,26.1333333333333
"HOU",1980,"/teams/HOU/1980.html",27.3422478675364,27.0666666666667
"SAS",1980,"/teams/SAS/1980.html",26.9372310807391,26.4
"IND",1980,"/teams/IND/1980.html",25.3187106522287,25.3125
"CLE",1980,"/teams/CLE/1980.html",27.3760160561967,27.6
"DET",1980,"/teams/DET/1980.html",24.66324570273,24.7058823529412
"MIL",1980,"/teams/MIL/1980.html",25.3335521332997,25.5
"KCK",1980,"/teams/KCK/1980.html",25.5176975511235,25.5
"DEN",1980,"/teams/DEN/1980.html",27.0643973777105,26.0666666666667
"CHI",1980,"/teams/CHI/1980.html",25.8898266767144,26.5333333333333
"UTA",1980,"/teams/UTA/1980.html",25.9221913658167,25.6
"LAL",1980,"/teams/LAL/1980.html",26.203370221328,25.6
"SEA",1980,"/teams/SEA/1980.html",26.9880484114977,26.5454545454545
"PHO",1980,"/teams/PHO/1980.html",26.4580106302202,25.8333333333333
"POR",1980,"/teams/POR/1980.html",26.3146612740142,26.2
"SDC",1980,"/teams/SDC/1980.html",27.5942799291319,26.4666666666667
"GSW",1980,"/teams/GSW/1980.html",26.29476861167,26.0714285714286
"BOS",1981,"/teams/BOS/1981.html",27.046865520728,26.5
"PHI",1981,"/teams/PHI/1981.html",27.2063460085621,26.8461538461538
"NYK",1981,"/teams/NYK/1981.html",25.1122037317196,24.4545454545455
"WSB",1981,"/teams/WSB/1981.html",28.5773003033367,26.8333333333333
"NJN",1981,"/teams/NJN/1981.html",25.2485735925271,25.1428571428571
"MIL",1981,"/teams/MIL/1981.html",26.5999493799038,26.7272727272727
"CHI",1981,"/teams/CHI/1981.html",26.5424165824065,25.7692307692308
"IND",1981,"/teams/IND/1981.html",25.9603142422707,25.2857142857143
"ATL",1981,"/teams/ATL/1981.html",26.7742097340692,26.4
"CLE",1981,"/teams/CLE/1981.html",25.691456016178,26.2777777777778
"DET",1981,"/teams/DET/1981.html",24.3342951151607,24.5
"SAS",1981,"/teams/SAS/1981.html",26.7139611209291,26.6428571428571
"KCK",1981,"/teams/KCK/1981.html",26.2405446293495,26.6428571428571
"HOU",1981,"/teams/HOU/1981.html",26.8269123958596,26.4615384615385
"DEN",1981,"/teams/DEN/1981.html",26.7939864695565,25.8125
"UTA",1981,"/teams/UTA/1981.html",25.1036999493158,24.9375
"DAL",1981,"/teams/DAL/1981.html",24.827704752275,24.5238095238095
"PHO",1981,"/teams/PHO/1981.html",25.7058972412048,25.3636363636364
"LAL",1981,"/teams/LAL/1981.html",27.0191870739712,25.6428571428571
"POR",1981,"/teams/POR/1981.html",25.7376479476202,25.7857142857143
"GSW",1981,"/teams/GSW/1981.html",24.4110491637101,25.4117647058824
"SDC",1981,"/teams/SDC/1981.html",27.5598580841358,26.7142857142857
"SEA",1981,"/teams/SEA/1981.html",26.7642568250758,26.9333333333333
"BOS",1982,"/teams/BOS/1982.html",27.3472699696663,26.5
"PHI",1982,"/teams/PHI/1982.html",28.1431881138252,27.7692307692308
"NJN",1982,"/teams/NJN/1982.html",25.1490899898888,25.1875
"WSB",1982,"/teams/WSB/1982.html",25.9691376701967,25.6923076923077
"NYK",1982,"/teams/NYK/1982.html",27.9673726676752,26.9333333333333
"MIL",1982,"/teams/MIL/1982.html",27.3121433981318,27.4705882352941
"ATL",1982,"/teams/ATL/1982.html",26.526861167002,26.5
"DET",1982,"/teams/DET/1982.html",24.438779626828,25
"IND",1982,"/teams/IND/1982.html",26.9688855269793,26.8461538461538
"CHI",1982,"/teams/CHI/1982.html",26.4948189134809,25.8571428571429
"CLE",1982,"/teams/CLE/1982.html",26.0789194647816,25.7826086956522
"SAS",1982,"/teams/SAS/1982.html",26.0691976714756,26.1764705882353
"DEN",1982,"/teams/DEN/1982.html",27.0309631870903,27.0769230769231
"HOU",1982,"/teams/HOU/1982.html",28.3045500505561,27.5384615384615
"KCK",1982,"/teams/KCK/1982.html",23.9705734406439,24.875
"DAL",1982,"/teams/DAL/1982.html",24.4353775975672,24.3846153846154
"UTA",1982,"/teams/UTA/1982.html",24.7815470171891,24.4615384615385
"LAL",1982,"/teams/LAL/1982.html",26.7941072777638,26.2857142857143
"SEA",1982,"/teams/SEA/1982.html",26.4466464952093,26.25
"PHO",1982,"/teams/PHO/1982.html",26.3648512355018,25.6153846153846
"GSW",1982,"/teams/GSW/1982.html",25.1029322548028,24.5384615384615
"POR",1982,"/teams/POR/1982.html",24.7103134479272,25.4
"SDC",1982,"/teams/SDC/1982.html",25.4427233611744,26.1764705882353
"PHI",1983,"/teams/PHI/1983.html",26.7483106404438,25.6428571428571
"BOS",1983,"/teams/BOS/1983.html",27.3465456379223,27.1538461538462
"NJN",1983,"/teams/NJN/1983.html",25.1905607713778,25.7058823529412
"NYK",1983,"/teams/NYK/1983.html",26.521332996718,25.7142857142857
"WSB",1983,"/teams/WSB/1983.html",25.827972734158,26.3157894736842
"MIL",1983,"/teams/MIL/1983.html",28.0626323751891,29.25
"ATL",1983,"/teams/ATL/1983.html",26.5908998988878,27.0588235294118
"DET",1983,"/teams/DET/1983.html",24.6222334004024,25.1111111111111
"CHI",1983,"/teams/CHI/1983.html",24.5006782215524,25.1333333333333
"CLE",1983,"/teams/CLE/1983.html",26.4334092634776,26.2777777777778
"IND",1983,"/teams/IND/1983.html",24.9024205748865,24.3846153846154
"SAS",1983,"/teams/SAS/1983.html",27.2408998988878,26.9444444444444
"DEN",1983,"/teams/DEN/1983.html",27.2176887987836,26.6428571428571
"KCK",1983,"/teams/KCK/1983.html",24.5217896865521,24.5714285714286
"DAL",1983,"/teams/DAL/1983.html",24.1803345159655,24.8461538461538
"UTA",1983,"/teams/UTA/1983.html",25.7125790939003,25.5714285714286
