"","ATL","BOS","BRK","CHA","CHH","CHI","CHO","CLE","DAL","DEN","DET","GSW","HOU","IND","KCK","LAC","LAL","MEM","MIA","MIL","MIN","NJN","NOH","NOK","NOP","NYK","OKC","ORL","PHI","PHO","POR","SAC","SAS","SDC","SEA","TOR","UTA","VAN","WAS","WSB"
"ATL",0,1730981,1395280,393945,393945,1152135,393945,1142351,1257681,2259717,1162336,3981284,1276085,859926,1288282,3500642,3500642,618295,1066253,1309259,1818487,1390912,757127,757127,757127,1388270,1365439,706332,1244869,2970288,4175885,3971889,1593852,3445126,4242770,1532255,3014231,4461478,1027550,1027550
"BOS",0,0,346931,1350629,1350629,1581096,1350629,1029454,2845546,3173199,1137883,4987171,2973904,1506631,2281585,4800516,4800516,2118113,2398079,1728013,2237923,349921,2455532,2455532,2455532,348932,2696893,2068537,499218,4240370,4968449,4847504,3291671,4899723,4900793,886294,3806795,5119500,706866,706866
"BRK",0,0,0,1016500,1016500,1277120,1016500,750599,2496664,2869223,996123,4683195,2625022,1146210,1921164,4496540,4496540,1769231,2063951,1424037,1933947,28152,2106650,2106650,2106650,8004,2336473,1734408,165089,3879949,4664473,4543528,2942789,4448941,4596817,798146,3502819,4815524,372737,372737
"CHA",0,0,0,0,0,1214842,0,829424,1649851,2515102,1011983,4361267,1668135,926598,1543667,3880625,3880625,996263,1172321,1371966,1880695,1005645,1149178,1149178,1149178,1003003,1745422,842779,859602,3362458,4431271,4310325,1985902,3837296,4498155,1220276,3269616,4716863,642283,642283
"CHH",0,0,0,0,0,1214842,0,829424,1649851,2515102,1011983,4361267,1668135,926598,1543667,3880625,3880625,996263,1172321,1371966,1880695,1005645,1149178,1149178,1149178,1003003,1745422,842779,859602,3362458,4431271,4310325,1985902,3837296,4498155,1220276,3269616,4716863,642283,642283
"CHI",0,0,0,0,0,0,1216642,556201,1558697,1615230,457034,3429202,1743615,294790,820916,3242546,3242546,858305,2218325,148247,658157,1269112,1490865,1490865,1490865,1271354,1278008,1858403,1221823,2821485,3410480,3289534,1999680,3341754,3321027,841527,2248825,3539734,1128793,1128793
"CHO",0,0,0,0,0,0,0,829424,1649851,2515102,1011983,4361267,1668135,926598,1543667,3880625,3880625,996263,1172321,1371966,1880695,1005645,1149178,1149178,1149178,1003003,1745422,842779,859602,3362458,4431271,4310325,1985902,3837296,4498155,1220276,3269616,4716863,642283,642283
"CLE",0,0,0,0,0,0,0,0,1903187,2144535,271435,3958507,2088105,507313,1282267,3771852,3771852,1175754,1997498,699349,1209259,742199,1696462,1696462,1696462,744441,1697575,1667956,694910,3241052,3939785,3818840,2344170,3871059,3872128,470500,2778130,4090836,601880,601880
"DAL",0,0,0,0,0,0,0,0,0,1278547,1908359,2787722,385035,1447330,817890,2311723,2311723,728465,2113386,1614893,1515996,2495155,813676,813676,813676,2492451,331692,1753464,2357050,1712998,3228168,2778328,440726,2187835,3347398,2278278,1999341,3566105,2138449,2138449
"DEN",0,0,0,0,0,0,0,0,0,0,2043959,2019692,1660630,1746636,973522,1635516,1635516,1686523,3322794,1683439,1471741,2864269,2092194,2092194,2092194,2866511,1093036,2962873,2781442,1320714,2000970,1880025,1502225,1734723,2120200,2428452,839316,2338907,2674247,2674247
"DET",0,0,0,0,0,0,0,0,0,0,0,3857995,2113870,481448,1229277,3671339,3671339,1202642,2233678,614553,1123282,991662,1723350,1723350,1723350,993905,1686369,1873757,944373,3229846,3839273,3718327,2369935,3770546,3786151,372766,2677618,4004859,851343,851343
"GSW",0,0,0,0,0,0,0,0,0,0,0,0,3104161,3662646,2906698,616620,616620,3366024,5011926,3497895,3164152,4678725,3660960,3660960,3660960,4680968,2618829,4652005,4631436,1211831,1022463,141419,2789804,807316,1300458,4242908,1184296,1529282,4538406,4538406
"HOU",0,0,0,0,0,0,0,0,0,0,0,0,0,1632522,1198298,2488119,2488119,913657,1910450,1886533,1896404,2623309,559483,559483,559483,2620605,715806,1550528,2485204,1889393,3605272,3104867,320789,2364231,3724501,2463470,2376445,3943209,2266603,2266603
"IND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,775086,3327039,3327039,747245,1923586,449379,958108,1145457,1320978,1320978,1320978,1142752,1190395,1563664,1034830,2733871,3642429,3521483,1888620,3302864,3620977,830971,2480774,3839685,927635,927635
"KCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2603784,2603784,725571,2351739,912619,702461,1921013,1358131,1358131,1358131,1918309,562355,1991817,1810386,1939516,2888866,2767920,1307876,2702991,2955751,1611405,1727211,3174458,1703191,1703191
"LAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2884221,4398908,3310019,3098321,4490849,3047942,3047942,3047942,4493091,2137026,4038987,4361137,598813,1549336,618361,2176786,193648,1827331,4055031,1107854,2056156,4294205,4294205
"LAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2884221,4398908,3310019,3098321,4490849,3047942,3047942,3047942,4493091,2137026,4038987,4361137,598813,1549336,618361,2176786,193648,1827331,4055031,1107854,2056156,4294205,4294205
"MEM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682148,1000796,1331964,1767135,635721,635721,635721,1764431,750237,1322227,1629030,2292272,3613096,3356687,1169494,2914763,3679981,1564731,2451442,3898689,1410429,1410429
"MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377097,2886326,2057284,1393920,1393920,1393920,2054642,2432423,379794,1911241,3799250,5243724,5014723,2230645,4274087,5310609,2391802,4082069,5529316,1693921,1693921
"MIL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542538,1414470,1633746,1633746,1633746,1416713,1400235,2013158,1367181,2943711,3322847,3359462,2052165,3411681,3205407,784980,2318753,3424114,1274152,1274152
"MIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1922740,1965124,1965124,1965124,1924983,1267319,2519611,1875451,2644480,2783150,3024109,2012840,3198451,2665711,1500414,1983400,2884418,1782422,1782422
"NJN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2102623,2102623,2102623,20988,2332446,1725946,156627,3875923,4648295,4527349,2938762,4444915,4580638,781968,3486640,4799346,364275,364275
"NOH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099175,1139658,1029272,1963774,2446230,4036042,3661704,877626,2921068,4155271,2083056,2807215,4373979,1745173,1745173
"NOK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099175,1139658,1029272,1963774,2446230,4036042,3661704,877626,2921068,4155271,2083056,2807215,4373979,1745173,1745173
"NOP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099175,1139658,1029272,1963774,2446230,4036042,3661704,877626,2921068,4155271,2083056,2807215,4373979,1745173,1745173
"NYK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2329796,1725756,156437,3873273,4657797,4536851,2936112,4442265,4590140,791469,3496142,4808847,364085,364085
"OKC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2068933,2226906,1544179,3073971,2608594,751375,2113171,3193200,2023047,1912317,3411908,2159974,2159974
"ORL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579338,3435577,4880051,4651050,1866972,3910414,4946936,2059899,3718396,5165643,1362019,1362019
"PHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3769260,4608081,4487135,2807208,4338253,4540424,801833,3446426,4759131,223883,223883
