"Away","Home","AwayLine","HomeLine","Date"
"Boston","Washington",350,-405,"20141208"
"Atlanta","Indiana",-105,-105,"20141208"
"Cleveland","Brooklyn",-400,346,"20141208"
"Denver","Toronto",450,-535,"20141208"
"Golden State","Minnesota",-2500,1400,"20141208"
"Utah","Sacramento",193,-215,"20141208"
"Phoenix","L.A. Clippers",297,-340,"20141208"
"Toronto","L.A. Clippers",162,-180,"20141227"
"Orlando","Charlotte",210,-235,"20141227"
"Boston","Washington",450,-535,"20141227"
"Memphis","Miami",-154,139,"20141227"
"New Orleans","Chicago",435,-515,"20141227"
"Indiana","Brooklyn",134,-148,"20141227"
"Atlanta","Milwaukee",-181,163,"20141227"
"Philadelphia","Utah",465,-555,"20141227"
"New York","Sacramento",227,-255,"20141227"
"Minnesota","Golden State",4400,-7500,"20141227"
"Charlotte","Orlando",158,-175,"20150103"
"Utah","Minnesota",108,-119,"20150103"
"Miami","Houston",252,-285,"20150103"
"Boston","Chicago",456,-543,"20150103"
"Washington","San Antonio",210,-235,"20150103"
"Memphis","Denver",110,-121,"20150103"
"Atlanta","Portland",229,-258,"20150103"
"Philadelphia","L.A. Clippers",4500,-9000,"20150103"
"Charlotte","New York",-295,260,"20150110"
"Dallas","L.A. Clippers",148,-164,"20150110"
"Indiana","Philadelphia",-280,248,"20150110"
"Boston","Toronto",671,-850,"20150110"
"Brooklyn","Detroit",200,-224,"20150110"
"Milwaukee","Chicago",232,-261,"20150110"
"Utah","Houston",587,-725,"20150110"
"San Antonio","Minnesota",-625,516,"20150110"
"Orlando","Portland",1200,-1700,"20150110"
"Toronto","Philadelphia",-1050,795,"20150123"
"Orlando","New York",-155,140,"20150123"
"Indiana","Miami",137,-152,"20150123"
"Oklahoma City","Atlanta",154,-171,"20150123"
"Charlotte","Cleveland",525,-638,"20150123"
"Chicago","Dallas",202,-226,"20150123"
"New Orleans","Minnesota",-250,222,"20150123"
"L.A. Lakers","San Antonio",1200,-2000,"20150123"
"Houston","Phoenix",120,-133,"20150123"
"Boston","Denver",239,-270,"20150123"
"Sacramento","Golden State",1450,-2450,"20150123"
"Minnesota","Oklahoma City",925,-1300,"20150126"
"Orlando","Memphis",671,-850,"20150126"
"Philadelphia","New Orleans",1400,-2500,"20150126"
"Boston","Utah",300,-343,"20150126"
"Denver","L.A. Clippers",1025,-1500,"20150126"
"Sacramento","New York",-190,171,"20150126"
"Portland","Brooklyn",-325,285,"20150126"
"Chicago","New Orleans",-128,116,"20150207"
"Brooklyn","Washington",239,-270,"20150207"
"Golden State","New York",-3000,1650,"20150207"
"Charlotte","Philadelphia",-365,318,"20150207"
"Portland","Dallas",127,-140,"20150207"
"Boston","Milwaukee",205,-230,"20150207"
"Sacramento","Utah",205,-230,"20150207"
"Philadelphia","Miami",604,-750,"20150223"
"Toronto","New Orleans",-325,285,"20150223"
"Milwaukee","Chicago",270,-307,"20150223"
"Minnesota","Houston",330,-380,"20150223"
"San Antonio","Utah",-228,204,"20150223"
"Boston","Phoenix",314,-360,"20150223"
"Brooklyn","Denver",-132,120,"20150223"
"Memphis","L.A. Clippers",144,-159,"20150223"
"Washington","Charlotte",120,-133,"20150309"
"Boston","Miami",131,-145,"20150309"
"Sacramento","Atlanta",621,-775,"20150309"
"Memphis","Chicago",-205,184,"20150309"
"New Orleans","Milwaukee",-115,104,"20150309"
"New York","Denver",461,-550,"20150309"
"Golden State","Phoenix",-230,205,"20150309"
"Minnesota","L.A. Clippers",301,-345,"20150309"
"Boston","Indiana",353,-409,"20150314"
"Sacramento","Washington",472,-565,"20150314"
"Brooklyn","Philadelphia",-265,235,"20150314"
"Milwaukee","Memphis",231,-260,"20150314"
"Detroit","Utah",318,-365,"20150314"
"New York","Golden State",2000,-8000,"20150314"
"Boston","Miami",160,-178,"20151130"
"Houston","Detroit",158,-175,"20151130"
"San Antonio","Chicago",-178,160,"20151130"
"Denver","Milwaukee",153,-170,"20151130"
"Oklahoma City","Atlanta",-143,129,"20151130"
"Golden State","Utah",-325,285,"20151130"
"Dallas","Sacramento",112,-124,"20151130"
"Portland","L.A. Clippers",289,-330,"20151130"
"L.A. Clippers","Brooklyn",-271,240,"20151212"
"Boston","Charlotte",131,-145,"20151212"
"Indiana","Detroit",102,-113,"20151212"
"L.A. Lakers","Houston",655,-825,"20151212"
"San Antonio","Atlanta",-143,129,"20151212"
